App name,"November 16, 2025","November 17, 2025","November 18, 2025","November 19, 2025","November 20, 2025","November 21, 2025","November 22, 2025","November 23, 2025","November 24, 2025","November 25, 2025","November 26, 2025","November 27, 2025","November 28, 2025","November 29, 2025","November 30, 2025","December 1, 2025","December 2, 2025","December 3, 2025","December 4, 2025","December 5, 2025","December 6, 2025","December 7, 2025","December 8, 2025","December 9, 2025","December 10, 2025","December 11, 2025","December 12, 2025","December 13, 2025",Total Usage
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Aalto MyCourses,0,0,0,0,0,0,0,0,0,0,227,0,65,0,0,0,0,0,0,248,0,0,0,67,0,100,0,0,709
Aalto Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,42
Always-on display and Lock screen editor,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Android Accessibility Suite,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Authenticator,6,7,0,0,0,0,6,18,10,17,18,11,10,24,5,10,47,7,9,14,0,10,11,17,6,15,10,0,298
Brave,912,52,0,0,0,1128,117,482,1318,24,688,372,1320,0,0,55,1211,278,0,946,5453,139,82,526,1395,0,496,29,17036
BusTracker Taipei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Calendar,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Calendar,0,83,0,0,0,93,0,12,9,0,63,0,17,0,0,9,4,0,0,16,0,0,0,0,73,0,0,0,383
Camera,7,0,0,0,0,266,17,84,0,0,304,45,272,6,0,9,19,0,15,13,132,0,6,16,4,282,4,25,1535
Chrome,14,0,0,0,0,0,42,0,22,0,0,0,0,0,0,0,0,0,2,1125,0,0,0,0,0,0,0,0,1207
Clock,97,164,0,0,0,0,22,262,3324,219,27,396,220,113,7,198,30,226,204,14,23,29,170,20,1115,113,323,0,7328
Dcard,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,1832,0,0,0,0,0,0,0,0,0,0,0,2202
Discord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,62,21,6,0,0,0,0,0,0,0,233
Docs,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,127
Drive,333,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380
Duolingo,18,0,0,0,0,173,8,14,17,12,4,12,156,14,0,34,46,270,13,0,119,20,8,0,13,21,6,0,986
